pointer_offset,source_offset,category,label,japanese,encoded_bytes,patched_pointer_changed,patched_payload_changed,residual_japanese,raw_hex,confirmed_text_pool
0x7AB90,0x200FC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABA4,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABA8,0x22390,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABBC,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABC0,0x22350,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABC8,0x22490,unclassified_pointer,,か<N:ク:12>！？<CTRL:EC><CTRL:E1>アす,8,False,False,True,20 80 02 3C EC E1 42 8C,False
0x7ABCC,0x1DB54,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABDC,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABE0,0x224FC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABEC,0x22530,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7ABF0,0x1FE08,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま<N:ﾉ:6>,5,False,False,True,E8 FF BD 27 10,False
0x7ABF4,0x1E4A8,unclassified_pointer,, 敵まの,5,False,False,True,E0 FF BD 27 1C,False
0x7ABFC,0x22530,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AC00,0x1FEC0,unclassified_pointer,,ム<CTRL:FF>敵まか,5,False,False,True,D8 FF BD 27 20,False
0x7AC08,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AC0C,0x1DB54,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AC38,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AC3C,0x1B7D0,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
