file,size,in_patch_zip,whole_file_changed,changed_bytes,corpus_total,high,medium,low,e2_valid,e2_other,inline_changed,original_high,occupied_slots,free_slots,remaining_for_e2,capacity_state
31/S3011.DAT,305152,1,1,42,19,1,18,0,0,0,1,0,0,79,1,fits_current_e2_bank
31/S3012.DAT,305152,1,1,813,31,14,17,0,12,1,1,0,13,66,1,fits_current_e2_bank
31/S3013.DAT,305152,0,0,0,33,16,17,0,0,0,0,16,0,79,16,fits_current_e2_bank
31/S3014.DAT,305152,0,0,0,96,79,17,0,0,0,0,79,63,16,79,needs_choice_inline_or_bank_extension
31/S3021.DAT,305152,0,0,0,32,0,32,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
31/S3022.DAT,305152,1,1,1868,68,36,32,0,35,0,1,0,35,44,1,fits_current_e2_bank
31/S3023.DAT,305152,1,1,408,58,26,32,0,0,0,17,9,0,79,26,fits_current_e2_bank
31/S3024.DAT,305152,1,1,1585,103,69,34,0,0,0,57,12,63,16,69,needs_choice_inline_or_bank_extension
31/S3031.DAT,305152,1,1,1492,28,27,1,0,27,0,0,0,27,52,0,covered
31/S3032.DAT,305152,0,0,0,13,12,1,0,0,0,0,12,0,79,12,fits_current_e2_bank
31/S3041.DAT,305152,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
32/S3051.DAT,305152,0,0,0,24,3,21,0,0,0,0,3,78,1,3,needs_choice_inline_or_bank_extension
32/S3061.DAT,305152,0,0,0,35,35,0,0,0,0,0,35,0,79,35,fits_current_e2_bank
32/S3062.DAT,305152,0,0,0,5,5,0,0,0,0,0,5,0,79,5,fits_current_e2_bank
32/S3063.DAT,305152,0,0,0,6,6,0,0,0,0,0,6,0,79,6,fits_current_e2_bank
32/S3064.DAT,305152,0,0,0,4,4,0,0,0,0,0,4,0,79,4,fits_current_e2_bank
32/S3065.DAT,305152,0,0,0,3,3,0,0,0,0,0,3,0,79,3,fits_current_e2_bank
32/S3066.DAT,305152,0,0,0,5,5,0,0,0,0,0,5,0,79,5,fits_current_e2_bank
32/S3067.DAT,305152,0,0,0,6,6,0,0,0,0,0,6,0,79,6,fits_current_e2_bank
32/S3068.DAT,305152,0,0,0,7,7,0,0,0,0,0,7,0,79,7,fits_current_e2_bank
4/S4011.DAT,305152,0,0,0,49,27,22,0,0,0,0,27,31,48,27,fits_current_e2_bank
4/S4012.DAT,305152,0,0,0,3,2,1,0,0,0,0,2,0,79,2,fits_current_e2_bank
4/S4013.DAT,305152,0,0,0,4,0,4,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
4/S4021.DAT,305152,0,0,0,11,9,2,0,0,0,0,9,0,79,9,fits_current_e2_bank
4/S4022.DAT,305152,0,0,0,15,15,0,0,0,0,0,15,0,79,15,fits_current_e2_bank
4/S4031.DAT,305152,0,0,0,40,38,2,0,0,0,0,38,0,79,38,fits_current_e2_bank
4/S4032.DAT,305152,0,0,0,41,10,31,0,0,0,0,10,0,79,10,fits_current_e2_bank
4/S4033.DAT,305152,0,0,0,65,34,31,0,0,0,0,34,0,79,34,fits_current_e2_bank
4/S4034.DAT,305152,0,0,0,61,30,31,0,0,0,0,30,0,79,30,fits_current_e2_bank
4/S4035.DAT,305152,0,0,0,57,26,31,0,0,0,0,26,0,79,26,fits_current_e2_bank
4/S4036.DAT,305152,0,0,0,56,24,32,0,0,0,0,24,0,79,24,fits_current_e2_bank
4/S4041.DAT,305152,1,1,99,5,5,0,0,0,0,5,0,0,79,5,fits_current_e2_bank
4/S4051.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
4/S4061.DAT,305152,0,0,0,2,2,0,0,0,0,0,2,0,79,2,fits_current_e2_bank
4/S4062.DAT,305152,0,0,0,1,1,0,0,0,0,0,1,0,79,1,fits_current_e2_bank
5/S5011.DAT,305152,0,0,0,28,11,17,0,0,0,0,11,0,79,11,fits_current_e2_bank
5/S5012.DAT,305152,0,0,0,31,14,17,0,0,0,0,14,0,79,14,fits_current_e2_bank
